timestamp,stake_mult,prob_up_BTCUSDT,prob_up_XRPUSDT,prob_up_ETHUSDT,prob_down_BTCUSDT,prob_down_XRPUSDT,prob_down_ETHUSDT,actual_BTCUSDT,actual_XRPUSDT,actual_ETHUSDT,signal_BTCUSDT,signal_XRPUSDT,signal_ETHUSDT,pnl_total,entered_all,bank
2026-01-20 17:00:00+00:00,1.0,0.5199840068817139,0.5245124697685242,0.5265332460403442,0.4800159931182861,0.4754875302314758,0.4734667539596557,-1,-1,-1,1,1,1,-150.0,1,124678.0
2026-01-20 18:00:00+00:00,1.0,0.5222616195678711,0.5259080529212952,0.5237066149711609,0.4777383804321289,0.4740919470787048,0.4762933850288391,1,1,1,1,1,1,132.75,1,124810.75
2026-01-20 19:00:00+00:00,1.0,0.5102013349533081,0.5077321529388428,0.5126195549964905,0.4897986650466919,0.4922678470611572,0.4873804450035095,1,1,1,0,0,1,44.25,0,124855.0
2026-01-20 20:00:00+00:00,1.0,0.5253259539604187,0.5059970617294312,0.5126195549964905,0.4746740460395813,0.4940029382705688,0.4873804450035095,-1,-1,-1,1,0,1,-100.0,0,124755.0
2026-01-20 21:00:00+00:00,1.0,0.5236287713050842,0.5142656564712524,0.5145235657691956,0.4763712286949157,0.4857343435287475,0.4854764342308044,-1,1,-1,1,1,1,-55.75,1,124699.25
2026-01-20 22:00:00+00:00,1.0,0.5135871171951294,0.5089155435562134,0.5218737721443176,0.4864128828048706,0.4910844564437866,0.4781262278556824,-1,-1,-1,0,1,1,-100.0,0,124599.25
2026-01-20 23:00:00+00:00,1.0,0.5192436575889587,0.5037816166877747,0.5227320790290833,0.4807563424110412,0.4962183833122253,0.4772679209709167,1,1,1,1,0,1,88.5,0,124687.75
2026-01-21 00:00:00+00:00,1.5,0.503847062587738,0.4866670072078705,0.4929457604885101,0.4961529374122619,0.5133329629898071,0.5070542097091675,1,-1,1,0,-1,0,66.375,0,124754.125
2026-01-21 01:00:00+00:00,1.5,0.5124781131744385,0.5092683434486389,0.5077657103538513,0.4875218868255615,0.4907316565513611,0.4922342896461487,1,-1,-1,0,1,0,-75.0,0,124679.125
2026-01-21 02:00:00+00:00,1.5,0.5126655697822571,0.511012077331543,0.5162202715873718,0.4873344302177429,0.488987922668457,0.4837797284126282,1,1,1,0,1,1,132.75,0,124811.875
2026-01-21 03:00:00+00:00,1.5,0.5067268013954163,0.502298891544342,0.5044316053390503,0.4932731986045837,0.4977011084556579,0.4955683946609497,1,1,-1,0,0,0,0.0,0,124811.875
2026-01-21 04:00:00+00:00,1.5,0.4970873296260834,0.5057991147041321,0.5026063919067383,0.5029126405715942,0.4942008852958679,0.4973936080932617,1,1,1,0,0,0,0.0,0,124811.875
2026-01-21 05:00:00+00:00,1.5,0.4918389320373535,0.4881632924079895,0.5011785626411438,0.5081610679626465,0.5118367075920105,0.4988214373588562,-1,-1,-1,0,-1,0,66.375,0,124878.25
2026-01-21 06:00:00+00:00,1.5,0.5053619146347046,0.5033031702041626,0.514764130115509,0.4946380853652954,0.4966968297958374,0.4852358698844909,-1,-1,-1,0,0,1,-75.0,0,124803.25
2026-01-21 07:00:00+00:00,1.5,0.5142475366592407,0.5117647051811218,0.5146512985229492,0.4857524633407593,0.4882352948188782,0.4853487014770508,-1,-1,-1,0,1,1,-150.0,0,124653.25
2026-01-21 08:00:00+00:00,1.5,0.5098082423210144,0.5208426117897034,0.5140901803970337,0.4901917576789856,0.4791573882102966,0.4859098196029663,-1,1,-1,0,1,1,-8.625,0,124644.625
2026-01-21 09:00:00+00:00,1.5,0.5155400633811951,0.4948880076408386,0.5178537964820862,0.4844599366188049,0.5051119923591614,0.4821462035179138,1,-1,1,0,0,1,66.375,0,124711.0
2026-01-21 10:00:00+00:00,1.5,0.5080627202987671,0.5073671340942383,0.5006551146507263,0.4919372797012329,0.4926328659057617,0.4993448853492737,-1,-1,-1,0,0,0,0.0,0,124711.0
2026-01-21 11:00:00+00:00,1.5,0.5240828394889832,0.5165088176727295,0.5146075487136841,0.4759171605110168,0.4834911823272705,0.4853924512863159,-1,1,-1,1,1,1,-83.625,1,124627.375
2026-01-21 12:00:00+00:00,1.5,0.5067041516304016,0.5096514821052551,0.5109880566596985,0.4932958483695984,0.4903485178947449,0.4890119433403015,-1,-1,-1,0,1,1,-150.0,0,124477.375
2026-01-21 13:00:00+00:00,1.5,0.51371830701828,0.5073356628417969,0.5131266117095947,0.4862816929817199,0.4926643371582031,0.4868733882904053,1,1,1,0,0,1,66.375,0,124543.75
2026-01-21 14:00:00+00:00,1.5,0.5018969178199768,0.4882450699806213,0.4950417876243591,0.4981030821800232,0.5117549300193787,0.5049582123756409,1,1,1,0,-1,0,-75.0,0,124468.75
2026-01-21 15:00:00+00:00,1.5,0.4967456758022308,0.486975610256195,0.4914145767688751,0.5032542943954468,0.5130243897438049,0.5085854530334473,-1,-1,-1,0,-1,0,66.375,0,124535.125
2026-01-21 16:00:00+00:00,1.5,0.5216007828712463,0.516546368598938,0.5172656178474426,0.4783992171287536,0.483453631401062,0.4827343821525574,1,1,1,1,1,1,199.125,1,124734.25
2026-01-21 17:00:00+00:00,1.5,0.5149682760238647,0.525888979434967,0.5137082934379578,0.4850317239761352,0.4741110205650329,0.4862917065620422,1,1,1,0,1,1,132.75,0,124867.0
2026-01-21 18:00:00+00:00,1.5,0.5089432597160339,0.508284330368042,0.5074328780174255,0.491056740283966,0.491715669631958,0.4925671219825744,1,1,1,0,1,0,66.375,0,124933.375
2026-01-21 19:00:00+00:00,1.5,0.5001740455627441,0.4927889406681061,0.4898428618907928,0.4998259544372558,0.5072110891342163,0.5101571083068848,-1,-1,-1,0,0,-1,66.375,0,124999.75
2026-01-21 20:00:00+00:00,1.5,0.4896204173564911,0.4872361719608307,0.4994109570980072,0.5103795528411865,0.5127638578414917,0.5005890130996704,1,1,-1,0,-1,0,-75.0,0,124924.75
2026-01-21 21:00:00+00:00,1.5,0.4906946718692779,0.4873693883419037,0.49897500872612,0.5093053579330444,0.5126305818557739,0.5010249614715576,-1,-1,-1,0,-1,0,66.375,0,124991.125
2026-01-21 22:00:00+00:00,1.5,0.4964169263839721,0.496369868516922,0.5228275656700134,0.5035830736160278,0.5036301612854004,0.4771724343299866,-1,-1,-1,0,0,1,-75.0,0,124916.125
