timestamp,source,stake_mult,min_conf,prob_up_BTCUSDT,prob_up_XRPUSDT,prob_up_ETHUSDT,prob_down_BTCUSDT,prob_down_XRPUSDT,prob_down_ETHUSDT,base_sig_BTCUSDT,base_sig_XRPUSDT,base_sig_ETHUSDT,actual_BTCUSDT,actual_XRPUSDT,actual_ETHUSDT,signal_BTCUSDT,signal_XRPUSDT,signal_ETHUSDT,pnl_BTCUSDT,pnl_XRPUSDT,pnl_ETHUSDT,pnl_total,entered_all,bank
2025-03-05 10:00:00+00:00,oot,0.5,0.014,0.4855583012104034,0.4701341688632965,0.4924734830856323,0.514441728591919,0.5298658609390259,0.5075265169143677,0,0,0,-1,-1,-1,0,0,0,0.0,0.0,0.0,0.0,0,9534.95
2025-03-05 11:00:00+00:00,oot,0.5,999.0,0.4870195686817169,0.4909934997558594,0.4952238202095032,0.5129804611206055,0.5090065002441406,0.5047761797904968,0,0,0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0,9534.95
2025-03-05 12:00:00+00:00,oot,0.5,999.0,0.4786953330039978,0.4865192174911499,0.4952238202095032,0.5213046669960022,0.5134807825088501,0.5047761797904968,0,0,0,-1,-1,-1,0,0,0,0.0,0.0,0.0,0.0,0,9534.95
2025-03-05 13:00:00+00:00,oot,0.5,0.014,0.4870195686817169,0.4856119155883789,0.5026406645774841,0.5129804611206055,0.5143880844116211,0.4973593354225158,0,0,0,-1,-1,-1,0,0,0,0.0,0.0,0.0,0.0,0,9534.95
2025-03-05 14:00:00+00:00,oot,0.5,0.014,0.5000571608543396,0.5101751089096069,0.4990647733211517,0.4999428391456604,0.489824891090393,0.5009351968765259,0,0,0,-1,-1,1,0,0,0,0.0,0.0,0.0,0.0,0,9534.95
2025-03-05 15:00:00+00:00,oot,0.5,0.014,0.5067099332809448,0.4961119294166565,0.5098038911819458,0.4932900667190552,0.5038880705833435,0.4901961088180542,0,0,0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0,9534.95
2025-03-05 16:00:00+00:00,oot,0.5,0.014,0.5019123554229736,0.4619227647781372,0.4990647733211517,0.4980876445770263,0.5380772352218628,0.5009351968765259,0,0,0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0,9534.95
2025-03-05 17:00:00+00:00,oot,0.5,999.0,0.5004643797874451,0.4360382258892059,0.4837193191051483,0.4995356202125549,0.5639617443084717,0.5162806510925293,0,0,0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0,9534.95
2025-03-05 18:00:00+00:00,oot,0.5,999.0,0.4885367453098297,0.4698938131332397,0.4697203636169433,0.5114632844924927,0.5301061868667603,0.5302796363830566,0,0,0,1,-1,1,0,0,0,0.0,0.0,0.0,0.0,0,9534.95
2025-03-05 19:00:00+00:00,oot,0.5,0.014,0.4863839745521545,0.4689465463161468,0.4688986539840698,0.5136160254478455,0.5310534238815308,0.5311013460159302,0,0,0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0,9534.95
2025-03-05 20:00:00+00:00,oot,0.5,0.014,0.4661189317703247,0.4322795569896698,0.4530029892921448,0.5338810682296753,0.5677204132080078,0.5469970107078552,-1,0,-1,-1,-1,1,-1,0,-1,57.525,0.0,-65.0,-7.475000000000001,0,9527.48
2025-03-05 21:00:00+00:00,oot,0.5,999.0,0.4826520085334778,0.4571599066257477,0.4615248739719391,0.5173479914665222,0.5428401231765747,0.5384751558303833,0,0,0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0,9527.48
2025-03-05 22:00:00+00:00,oot,0.5,0.008,0.4774551391601562,0.4570882618427276,0.4615248739719391,0.5225448608398438,0.5429117679595947,0.5384751558303833,-1,-1,-1,1,-1,1,-1,-1,-1,-65.0,55.315,-65.0,-74.685,1,9452.79
2025-03-05 23:00:00+00:00,oot,0.5,0.008,0.4774551391601562,0.4429667294025421,0.4588249325752258,0.5225448608398438,0.5570333003997803,0.5411750674247742,-1,-1,-1,-1,-1,-1,-1,-1,-1,57.525,55.315,57.525,170.365,1,9623.16
2025-03-06 00:00:00+00:00,oot,1.0,0.014,0.5005775690078735,0.5026937127113342,0.4882112145423889,0.4994224309921264,0.4973062872886657,0.5117887854576111,0,0,0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0,9623.16
2025-03-06 01:00:00+00:00,oot,1.0,999.0,0.4659446179866791,0.4555252194404602,0.4571239352226257,0.5340553522109985,0.5444747805595398,0.5428760647773743,0,0,0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0,9623.16
2025-03-06 02:00:00+00:00,oot,1.0,0.014,0.4645299017429352,0.4555252194404602,0.4530029892921448,0.5354701280593872,0.5444747805595398,0.5469970107078552,0,0,0,-1,-1,1,0,0,0,0.0,0.0,0.0,0.0,0,9623.16
2025-03-06 03:00:00+00:00,oot,1.0,0.014,0.5037623047828674,0.4994556903839111,0.485917866230011,0.4962376952171325,0.5005443096160889,0.514082133769989,0,0,0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0,9623.16
2025-03-06 04:00:00+00:00,oot,1.0,999.0,0.4645299017429352,0.4414210319519043,0.4530029892921448,0.5354701280593872,0.5585789680480957,0.5469970107078552,0,-1,-1,1,-1,1,0,0,0,0.0,0.0,0.0,0.0,0,9623.16
2025-03-06 05:00:00+00:00,oot,1.0,0.014,0.4659446179866791,0.467519611120224,0.4577682018280029,0.5340553522109985,0.5324803590774536,0.5422317981719971,0,0,0,-1,-1,-1,0,0,0,0.0,0.0,0.0,0.0,0,9623.16
2025-03-06 06:00:00+00:00,oot,1.0,0.014,0.4992296695709228,0.507632315158844,0.4759310185909271,0.5007703304290771,0.492367684841156,0.5240689516067505,0,0,0,-1,1,-1,0,0,0,0.0,0.0,0.0,0.0,0,9623.16
2025-03-06 07:00:00+00:00,oot,1.0,0.014,0.5087211728096008,0.4401001334190368,0.5002021789550781,0.4912788271903991,0.5598998665809631,0.4997978210449219,0,0,0,-1,1,1,0,0,0,0.0,0.0,0.0,0.0,0,9623.16
2025-03-06 08:00:00+00:00,oot,1.0,0.014,0.5105165243148804,0.4422350525856018,0.4796231985092163,0.4894834756851196,0.5577649474143982,0.5203768014907837,0,0,0,-1,1,-1,0,0,0,0.0,0.0,0.0,0.0,0,9623.16
2025-03-06 09:00:00+00:00,oot,1.0,0.014,0.5055369734764099,0.4401001334190368,0.5026984214782715,0.4944630265235901,0.5598998665809631,0.4973015785217285,0,0,0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0,9623.16
2025-03-06 10:00:00+00:00,oot,1.0,0.014,0.4994618594646454,0.435284674167633,0.4996639490127563,0.5005381107330322,0.5647153258323669,0.5003360509872437,0,0,0,1,-1,1,0,0,0,0.0,0.0,0.0,0.0,0,9623.16
2025-03-06 11:00:00+00:00,oot,1.0,999.0,0.5116409063339233,0.4713406562805176,0.4937877655029297,0.4883590936660766,0.5286593437194824,0.5062122344970703,0,0,0,-1,-1,-1,0,0,0,0.0,0.0,0.0,0.0,0,9623.16
2025-03-06 12:00:00+00:00,oot,1.0,999.0,0.5071403980255127,0.4782495498657226,0.5024349689483643,0.4928596019744873,0.5217504501342773,0.4975650310516357,0,0,0,-1,1,-1,0,0,0,0.0,0.0,0.0,0.0,0,9623.16
2025-03-06 13:00:00+00:00,oot,1.0,0.014,0.4979986548423767,0.4289779961109161,0.4978668987751007,0.5020013451576233,0.5710220336914062,0.5021331310272217,0,0,0,1,-1,-1,0,0,0,0.0,0.0,0.0,0.0,0,9623.16
2025-03-06 14:00:00+00:00,oot,1.0,0.014,0.5011835098266602,0.471141368150711,0.4995543658733368,0.4988164901733398,0.5288586616516113,0.5004456043243408,0,0,0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0,9623.16
2025-03-06 15:00:00+00:00,oot,1.0,0.014,0.501096248626709,0.4344386160373688,0.4990647733211517,0.498903751373291,0.5655614137649536,0.5009351968765259,0,0,0,-1,-1,-1,0,0,0,0.0,0.0,0.0,0.0,0,9623.16
2025-03-06 16:00:00+00:00,oot,1.0,0.014,0.5216280221939087,0.5082400441169739,0.5256048440933228,0.4783719778060913,0.4917599558830261,0.4743951559066772,0,0,0,-1,-1,-1,0,0,0,0.0,0.0,0.0,0.0,0,9623.16
2025-03-06 17:00:00+00:00,oot,1.0,999.0,0.5251628756523132,0.5386991500854492,0.5318041443824768,0.4748371243476867,0.4613008499145508,0.4681958556175232,0,0,0,-1,1,1,0,0,0,0.0,0.0,0.0,0.0,0,9623.16
2025-03-06 18:00:00+00:00,oot,1.0,999.0,0.5251628756523132,0.5309027433395386,0.5066553950309753,0.4748371243476867,0.4690972566604614,0.4933446049690246,0,0,0,1,1,-1,0,0,0,0.0,0.0,0.0,0.0,0,9623.16
2025-03-06 19:00:00+00:00,oot,1.0,0.014,0.50252366065979,0.4567112922668457,0.5071448683738708,0.4974763393402099,0.5432887077331543,0.4928551316261291,0,0,0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0,9623.16
2025-03-06 20:00:00+00:00,oot,1.0,0.014,0.5084802508354187,0.4314925968647003,0.5102880001068115,0.4915197491645813,0.5685074329376221,0.4897119998931885,0,0,0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0,9623.16
2025-03-06 21:00:00+00:00,oot,1.0,999.0,0.50252366065979,0.4804544150829315,0.5047498345375061,0.4974763393402099,0.5195455551147461,0.4952501654624939,0,0,0,1,-1,-1,0,0,0,0.0,0.0,0.0,0.0,0,9623.16
2025-03-06 22:00:00+00:00,oot,1.0,0.008,0.4879642426967621,0.4600684642791748,0.48776376247406,0.5120357275009155,0.5399315357208252,0.5122362375259399,0,0,0,-1,1,-1,0,0,0,0.0,0.0,0.0,0.0,0,9623.16
2025-03-06 23:00:00+00:00,oot,1.0,0.008,0.50252366065979,0.4248092472553253,0.5016640424728394,0.4974763393402099,0.5751907825469971,0.4983359575271606,0,-1,0,-1,-1,-1,0,-1,0,0.0,110.63,0.0,110.63,0,9733.79
2025-03-07 00:00:00+00:00,oot,2.0,0.014,0.5251628756523132,0.5488170981407166,0.5359621047973633,0.4748371243476867,0.4511829018592834,0.4640378952026367,0,1,0,1,1,1,0,1,0,0.0,221.26,0.0,221.26,0,9955.05
2025-03-07 01:00:00+00:00,oot,2.0,999.0,0.5251628756523132,0.5461575388908386,0.529880940914154,0.4748371243476867,0.4538424611091614,0.4701190590858459,0,0,0,-1,-1,-1,0,0,0,0.0,0.0,0.0,0.0,0,9955.05
2025-03-07 02:00:00+00:00,oot,2.0,0.014,0.5168137550354004,0.551278829574585,0.5193217992782593,0.4831862449645996,0.448721170425415,0.4806782007217407,0,0,0,-1,-1,-1,0,0,0,0.0,0.0,0.0,0.0,0,9955.05
2025-03-07 03:00:00+00:00,oot,2.0,0.014,0.5216280221939087,0.5288301706314087,0.5273352265357971,0.4783719778060913,0.4711698293685913,0.4726647734642029,1,0,0,1,1,1,1,0,0,202.81039534091948,0.0,0.0,202.81039534091948,0,10157.86
2025-03-07 04:00:00+00:00,oot,2.0,999.0,0.5137935280799866,0.5007655024528503,0.5098038911819458,0.4862064719200134,0.4992344975471496,0.4901961088180542,0,0,0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0,10157.86
2025-03-07 05:00:00+00:00,oot,2.0,0.014,0.5039867758750916,0.4799783229827881,0.4903486371040344,0.4960132241249084,0.5200216770172119,0.5096513628959656,0,0,0,-1,-1,1,0,0,0,0.0,0.0,0.0,0.0,0,10157.86
2025-03-07 06:00:00+00:00,oot,2.0,0.014,0.482477068901062,0.4959152042865753,0.459469586610794,0.517522931098938,0.5040848255157471,0.5405304431915283,0,0,-1,1,1,1,0,0,-1,0.0,0.0,-260.0,-260.0,0,9897.86
2025-03-07 07:00:00+00:00,oot,2.0,0.014,0.5077851414680481,0.4604157209396362,0.4554511308670044,0.4922148585319519,0.5395842790603638,0.5445488691329956,0,0,0,1,1,-1,0,0,0,0.0,0.0,0.0,0.0,0,9897.86
2025-03-07 08:00:00+00:00,oot,2.0,0.014,0.5158422589302063,0.5093994736671448,0.4779854714870453,0.4841577410697937,0.4906005263328552,0.5220144987106323,0,0,0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0,9897.86
2025-03-07 09:00:00+00:00,oot,2.0,0.014,0.5077851414680481,0.4440504312515259,0.4548073709011078,0.4922148585319519,0.5559495687484741,0.5451925992965698,0,0,0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0,9897.86
2025-03-07 10:00:00+00:00,oot,2.0,0.014,0.5077851414680481,0.454995721578598,0.4615474343299866,0.4922148585319519,0.5450042486190796,0.5384525656700134,0,0,0,-1,-1,1,0,0,0,0.0,0.0,0.0,0.0,0,9897.86
